closed_date,stock_name,closed_price,closed_volume,news_id,news_date,news_title,news_desc
01/03/2017,AMZN,853.08,2760083.0,20170301-00173,01/03/2017,Asian Shares Mostly Higher As Trump Softens Immigration Stance,Asian Shares Mostly Higher As Trump Softens Immigration Stance
01/03/2017,AMZN,0,0,20170301-00174,01/03/2017,Asian Shares Mostly Higher As Trump Softens Immigration Stance,Asian Shares Mostly Higher As Trump Softens Immigration Stance
28/02/2017,AAPL,136.99,23482860.0,20170228-01346,28/02/2017,Apple Looking Into Supposed IPhone 7 Plus Fire,Apple Looking Into Supposed IPhone 7 Plus Fire
28/02/2017,GOOG,823.21,2260769.0,20170228-02133,28/02/2017,YouTube To Unveil $35/Month Web-TV Service,YouTube To Unveil $35/Month Web-TV Service
28/02/2017,AMZN,845.04,2793709.0,20170228-00052,28/02/2017,Amazon To Sell Game Downloads From Twitch Streams,Amazon To Sell Game Downloads From Twitch Streams
27/02/2017,AAPL,136.93,20257426.0,20170227-00981,27/02/2017,Berkshire Increases Its Stake In Apple,Berkshire Increases Its Stake In Apple
27/02/2017,GOOG,829.28,1101466.0,,,,
27/02/2017,AMZN,848.64,2713627.0,,,,
24/02/2017,AAPL,136.66,21776585.0,,,,
24/02/2017,GOOG,828.64,1392202.0,,,,
24/02/2017,AMZN,845.24,3687963.0,,,,
23/02/2017,AAPL,136.53,20788186.0,20170223-01255,23/02/2017,European Markets Finished Mostly Lower After Late Drop,European Markets Finished Mostly Lower After Late Drop
23/02/2017,AAPL,0,0,20170223-00344,23/02/2017,European Shares Lack Direction Amid Earnings Deluge,European Shares Lack Direction Amid Earnings Deluge
23/02/2017,GOOG,831.33,1472771.0,20170223-01024,23/02/2017,Google Taking On Uber With Waze Expansion,Google Taking On Uber With Waze Expansion
23/02/2017,AMZN,852.19,3461984.0,,,,
22/02/2017,AAPL,137.11,20836932.0,20170222-00689,22/02/2017,Apple Park Opens To Employees In April; Theater To Be Named For Steve Jobs,Apple Park Opens To Employees In April; Theater To Be Named For Steve Jobs
22/02/2017,GOOG,830.76,987248.0,,,,
22/02/2017,AMZN,855.61,2616971.0,20170222-01272,22/02/2017,Amazon Offers One-Time Discount Just Because,Amazon Offers One-Time Discount Just Because
21/02/2017,AAPL,136.7,24507156.0,,,,
21/02/2017,GOOG,831.66,1262337.0,20170221-01310,21/02/2017,YouTube Getting Rid Of Unskippable 30-Second Ads,YouTube Getting Rid Of Unskippable 30-Second Ads
21/02/2017,AMZN,856.44,3507742.0,20170221-00524,21/02/2017,McDermott Acquires Deepwater Pipelay And Construction Vessel - Quick Facts,McDermott Acquires Deepwater Pipelay And Construction Vessel - Quick Facts
17/02/2017,AAPL,135.72,22198197.0,,,,
17/02/2017,GOOG,828.07,1611039.0,,,,
